Variável,Modelo,Base,Wasserstein
relationship,VAE1,"Adults Outliers 1,5",0.0036
race,VAE1,"Adults Outliers 1,5",0.0046
sex,VAE1,"Adults Outliers 1,5",0.0055
capital_gain,VAE1,"Adults Outliers 1,5",0.0049
capital_loss,VAE1,"Adults Outliers 1,5",0.0025
hours_per_week,VAE1,"Adults Outliers 1,5",0.0383
native_country,VAE1,"Adults Outliers 1,5",0.0069
salary,VAE1,"Adults Outliers 1,5",0.0151
age,VAE2,"Adults Outliers 1,5",0.013
workclass,VAE2,"Adults Outliers 1,5",0.0005
fnlwgt,VAE2,"Adults Outliers 1,5",0.0048
education,VAE2,"Adults Outliers 1,5",0.0014
marital_status,VAE2,"Adults Outliers 1,5",0.0005
occupation,VAE2,"Adults Outliers 1,5",0.0007
relationship,VAE2,"Adults Outliers 1,5",0.0002
race,VAE2,"Adults Outliers 1,5",0.0006
sex,VAE2,"Adults Outliers 1,5",0.0003
capital_gain,VAE2,"Adults Outliers 1,5",0.0031
capital_loss,VAE2,"Adults Outliers 1,5",0.0032
hours_per_week,VAE2,"Adults Outliers 1,5",0.0391
native_country,VAE2,"Adults Outliers 1,5",0.0058
salary,VAE2,"Adults Outliers 1,5",0.0
age,CTAB-GAN,"Adults Outliers 1,5",0.0603
workclass,CTAB-GAN,"Adults Outliers 1,5",0.0435
fnlwgt,CTAB-GAN,"Adults Outliers 1,5",0.0114
education,CTAB-GAN,"Adults Outliers 1,5",0.0644
marital_status,CTAB-GAN,"Adults Outliers 1,5",0.0594
occupation,CTAB-GAN,"Adults Outliers 1,5",0.029
relationship,CTAB-GAN,"Adults Outliers 1,5",0.0303
race,CTAB-GAN,"Adults Outliers 1,5",0.0203
sex,CTAB-GAN,"Adults Outliers 1,5",0.0296
capital_gain,CTAB-GAN,"Adults Outliers 1,5",0.0027
capital_loss,CTAB-GAN,"Adults Outliers 1,5",0.0064
hours_per_week,CTAB-GAN,"Adults Outliers 1,5",0.0483
native_country,CTAB-GAN,"Adults Outliers 1,5",0.009
salary,CTAB-GAN,"Adults Outliers 1,5",0.0336
age,AE,"Adults Outliers 3,0",0.0163
workclass,AE,"Adults Outliers 3,0",0.0005
fnlwgt,AE,"Adults Outliers 3,0",0.0103
education,AE,"Adults Outliers 3,0",0.0001
marital_status,AE,"Adults Outliers 3,0",0.0
occupation,AE,"Adults Outliers 3,0",0.0002
relationship,AE,"Adults Outliers 3,0",0.0
race,AE,"Adults Outliers 3,0",0.0002
sex,AE,"Adults Outliers 3,0",0.0
capital_gain,AE,"Adults Outliers 3,0",0.0109
capital_loss,AE,"Adults Outliers 3,0",0.0084
hours_per_week,AE,"Adults Outliers 3,0",0.0195
native_country,AE,"Adults Outliers 3,0",0.0055
salary,AE,"Adults Outliers 3,0",0.0
age,VAE1,"Adults Outliers 3,0",0.022
workclass,VAE1,"Adults Outliers 3,0",0.0033
fnlwgt,VAE1,"Adults Outliers 3,0",0.0084
education,VAE1,"Adults Outliers 3,0",0.0038
marital_status,VAE1,"Adults Outliers 3,0",0.0028
occupation,VAE1,"Adults Outliers 3,0",0.0016
relationship,VAE1,"Adults Outliers 3,0",0.0042
race,VAE1,"Adults Outliers 3,0",0.003
sex,VAE1,"Adults Outliers 3,0",0.0055
capital_gain,VAE1,"Adults Outliers 3,0",0.0055
capital_loss,VAE1,"Adults Outliers 3,0",0.0071
hours_per_week,VAE1,"Adults Outliers 3,0",0.0263
native_country,VAE1,"Adults Outliers 3,0",0.0059
salary,VAE1,"Adults Outliers 3,0",0.0002
age,VAE2,"Adults Outliers 3,0",0.0076
workclass,VAE2,"Adults Outliers 3,0",0.0001
fnlwgt,VAE2,"Adults Outliers 3,0",0.0013
education,VAE2,"Adults Outliers 3,0",0.0007
marital_status,VAE2,"Adults Outliers 3,0",0.0002
occupation,VAE2,"Adults Outliers 3,0",0.0001
relationship,VAE2,"Adults Outliers 3,0",0.0003
race,VAE2,"Adults Outliers 3,0",0.0005
sex,VAE2,"Adults Outliers 3,0",0.0002
capital_gain,VAE2,"Adults Outliers 3,0",0.0014
capital_loss,VAE2,"Adults Outliers 3,0",0.0012
hours_per_week,VAE2,"Adults Outliers 3,0",0.0219
native_country,VAE2,"Adults Outliers 3,0",0.0012
salary,VAE2,"Adults Outliers 3,0",0.0
age,CTAB-GAN,"Adults Outliers 3,0",0.0312
workclass,CTAB-GAN,"Adults Outliers 3,0",0.0161
fnlwgt,CTAB-GAN,"Adults Outliers 3,0",0.0213
education,CTAB-GAN,"Adults Outliers 3,0",0.0266
marital_status,CTAB-GAN,"Adults Outliers 3,0",0.0105
occupation,CTAB-GAN,"Adults Outliers 3,0",0.0265
relationship,CTAB-GAN,"Adults Outliers 3,0",0.037
race,CTAB-GAN,"Adults Outliers 3,0",0.0174
sex,CTAB-GAN,"Adults Outliers 3,0",0.0668
capital_gain,CTAB-GAN,"Adults Outliers 3,0",0.0033
capital_loss,CTAB-GAN,"Adults Outliers 3,0",0.01
hours_per_week,CTAB-GAN,"Adults Outliers 3,0",0.0366
native_country,CTAB-GAN,"Adults Outliers 3,0",0.0521
salary,CTAB-GAN,"Adults Outliers 3,0",0.0964
